pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,sig_type,category,tp_display,sl_display,session,has_lowvol,has_breakeven,has_trailing,max_bars,avg_hold_min,pnl_tokyo,trades_tokyo,pnl_london,trades_london,pnl_newyork,trades_newyork
0.7185,47.64,3.13,0.0,-2.71,119.4,191,6,5,-0.0142,0.7895,hilo_break_ed3ebe18,GBPJPY,M1,hilo_break,breakout,15p,15p,newyork,True,False,False,15,2.0,0.0,0,-0.39,67,-2.32,124
0.736,45.92,23.67,0.02,-23.19,72.6,2363,11,10,-0.0098,0.8669,wick_reversal_7b34d9f0,GBPJPY,M1,wick_reversal,mean_reversion,10p,10p,london,True,False,True,15,1.2,-3.54,540,-19.65,1823,0.0,0
0.6611,45.83,4.29,0.0,-3.84,64.4,312,8,6,-0.0123,0.7812,consecutive_reversal_327d12f2,GBPJPY,M1,consecutive_reversal,mean_reversion,5p,10p,newyork,True,False,True,30,1.1,0.0,0,-0.89,106,-2.95,206
0.7031,45.84,31.82,0.03,-31.13,73.0,2803,13,11,-0.0111,0.8306,wick_reversal_f0b0b78d,GBPJPY,M1,wick_reversal,mean_reversion,10p,10p,london,True,True,True,0,1.2,-8.19,634,-22.94,2169,0.0,0
0.8173,37.28,17.03,0.02,-12.26,738.5,523,12,4,-0.0234,1.3747,momentum_64f7a701,GBPJPY,M1,momentum,trend_follow,ATR×2.0,ATR×1.5,london,True,False,False,60,12.3,-5.56,124,-6.7,399,0.0,0
0.7594,48.59,3.57,0.0,-3.55,70.7,426,7,8,-0.0083,0.8034,bb_bounce_d9f9b3c8,GBPJPY,M1,bb_bounce,mean_reversion,5p,15p,london,True,False,True,15,1.2,0.0,88,-3.55,338,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_d9fa213f,GBPJPY,M1,atr_break,breakout,5p,15p,london,True,True,False,0,0.0,0.0,0,0.0,0,0.0,0
0.7842,51.03,25.2,0.03,-23.62,76.7,3063,10,10,-0.0077,0.7526,wick_reversal_67ef6ad2,GBPJPY,M1,wick_reversal,mean_reversion,7p,15p,london,True,False,True,15,1.3,-4.52,700,-19.1,2363,0.0,0
0.7887,50.91,9.38,0.01,-8.5,75.9,1159,9,12,-0.0073,0.7606,consecutive_reversal_600c37fd,GBPJPY,M1,consecutive_reversal,mean_reversion,7p,15p,london,True,True,True,15,1.3,-3.5,254,-5.0,905,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_23289237,GBPJPY,M1,atr_break,breakout,5p,10p,newyork,True,False,True,60,0.0,0.0,0,0.0,0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_6e56cbd8,GBPJPY,M1,atr_break,breakout,5p,15p,london,False,False,True,15,0.0,0.0,0,0.0,0,0.0,0
0.7316,46.2,9.13,0.01,-8.88,151.6,619,6,9,-0.0143,0.8519,bb_bounce_b3b07f20,GBPJPY,M1,bb_bounce,mean_reversion,ATR×2.0,ATR×1.0,newyork,False,False,True,60,2.5,0.0,0,-3.93,212,-4.95,407
0.8769,39.57,5.56,0.01,-2.79,637.9,187,7,6,-0.0149,1.3391,donchian_break_2809018d,GBPJPY,M1,donchian_break,breakout,ATR×2.0,ATR×1.5,newyork,True,False,False,30,10.6,0.0,0,1.33,69,-4.12,118
0.8828,48.47,3.74,0.0,-2.86,128.1,524,8,8,-0.0055,0.9384,consecutive_reversal_f79de467,GBPJPY,M1,consecutive_reversal,mean_reversion,15p,15p,london,True,False,False,60,2.1,-2.36,126,-0.51,398,0.0,0
0.9159,46.6,1.26,0.0,-0.89,74.0,309,8,7,-0.0029,1.0494,donchian_break_d9601565,GBPJPY,M1,donchian_break,breakout,15p,7p,london,True,True,True,0,1.2,-0.94,77,0.05,232,0.0,0
0.7524,45.1,10.59,0.01,-10.39,60.7,1295,13,8,-0.008,0.916,bb_bounce_373f0a1e,GBPJPY,M1,bb_bounce,mean_reversion,5p,5p,newyork,True,True,True,15,1.0,0.0,0,-6.15,455,-4.24,840
0.76,47.93,2.25,0.0,-1.81,64.0,242,9,11,-0.0075,0.8256,donchian_break_84ec5baf,GBPJPY,M1,donchian_break,breakout,5p,10p,newyork,True,True,False,60,1.1,0.0,0,-0.55,86,-1.26,156
0.7621,46.61,27.9,0.03,-27.5,63.5,3448,14,9,-0.008,0.873,rsi_reversal_4baf11eb,GBPJPY,M1,rsi_reversal,mean_reversion,5p,10p,newyork,False,True,False,30,1.1,0.0,0,-15.75,1217,-11.75,2231
0.7418,41.51,0.7,0.0,-0.49,69.1,53,7,4,-0.0092,1.0452,atr_break_3d60d401,GBPJPY,M1,atr_break,breakout,5p,15p,london,True,False,True,30,1.2,-0.1,14,-0.39,39,0.0,0
1.012,31.29,10.18,0.01,1.18,1314.0,652,22,4,0.0018,2.2224,wick_reversal_d597b727,GBPJPY,M1,wick_reversal,mean_reversion,ATR×3.0,ATR×1.5,newyork,False,False,False,0,21.9,0.0,0,-2.25,240,3.42,412
0.8373,48.7,16.23,0.02,-14.48,102.3,2072,11,9,-0.007,0.8821,wick_reversal_c05098dd,GBPJPY,M1,wick_reversal,mean_reversion,15p,15p,newyork,True,True,True,15,1.7,0.0,0,-0.87,716,-13.61,1356
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_9c952ac9,GBPJPY,M1,atr_break,breakout,ATR×1.5,ATR×1.0,newyork,True,True,True,0,0.0,0.0,0,0.0,0,0.0,0
0.7065,44.03,10.02,0.01,-9.42,62.2,913,10,7,-0.0103,0.898,momentum_aa0386c1,GBPJPY,M1,momentum,trend_follow,7p,7p,newyork,True,True,True,0,1.0,0.0,0,-4.94,296,-4.48,617
0.8202,51.77,8.89,0.01,-7.18,74.7,1184,8,10,-0.0061,0.764,consecutive_reversal_0ab690a9,GBPJPY,M1,consecutive_reversal,mean_reversion,7p,15p,london,True,False,True,15,1.2,-2.89,256,-4.28,928,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_43fb8a81,GBPJPY,M1,atr_break,breakout,15p,7p,london,False,False,False,15,0.0,0.0,0,0.0,0,0.0,0
0.7035,37.72,3.84,0.0,-3.35,86.8,289,11,6,-0.0116,1.1617,donchian_break_0e000638,GBPJPY,M1,donchian_break,breakout,20p,7p,newyork,True,False,True,15,1.4,0.0,0,0.18,110,-3.53,179
0.8159,38.62,1.75,0.0,-1.48,82.9,189,20,6,-0.0078,1.2965,hilo_break_38c8848f,GBPJPY,M1,hilo_break,breakout,20p,7p,london,True,True,False,30,1.4,-0.88,45,-0.6,144,0.0,0
0.7152,46.46,24.83,0.02,-24.56,63.9,2475,12,13,-0.0099,0.824,wick_reversal_f1ca22ce,GBPJPY,M1,wick_reversal,mean_reversion,5p,10p,london,True,True,True,60,1.1,-3.63,566,-20.94,1909,0.0,0
0.914,48.33,15.55,0.02,-13.37,183.5,2932,9,14,-0.0046,0.9772,wick_reversal_80419ca2,GBPJPY,M1,wick_reversal,mean_reversion,ATR×1.5,ATR×1.0,newyork,False,True,True,30,3.1,0.0,0,-2.25,967,-11.12,1965
0.7019,46.42,7.34,0.01,-6.96,70.1,642,7,7,-0.0108,0.8103,bb_bounce_4b9b1122,GBPJPY,M1,bb_bounce,mean_reversion,5p,15p,newyork,False,True,False,30,1.2,0.0,0,-1.84,220,-5.12,422
0.7772,45.69,18.54,0.02,-16.85,62.7,2322,13,16,-0.0073,0.9237,consecutive_reversal_661a0359,GBPJPY,M1,consecutive_reversal,mean_reversion,7p,7p,london,False,True,True,15,1.0,-4.59,507,-12.26,1815,0.0,0
