pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,sig,tp,sl,sess,lv,be,trail,mb,ab_period,ab_mult,hold_m,hl_lb,hl_cb,bb_p,bb_std
0.8286,27.53,18.03,0.02,-16.25,534.8,1126,17,5,-0.0144,2.181,bb_bounce_c7f605f6,GBPJPY,bb_bounce,A×4.0,A×1.0,london,False,False,True,0,,,8.9,,,20.0,1.5
0.9251,25.55,10.26,0.01,-4.16,242.6,963,20,4,-0.0043,2.6962,bb_bounce_67964d79,GBPJPY,bb_bounce,A×2.0,A×0.7,newyork,True,False,False,60,,,4.0,,,10.0,1.5
0.7287,42.86,0.49,0.0,-0.23,214.3,14,5,4,-0.0166,0.9715,bb_bounce_4cc04cda,GBPJPY,bb_bounce,A×4.0,A×1.5,newyork,True,True,True,60,,,3.6,,,10.0,2.5
0.7052,40.48,2.16,0.0,-1.7,249.3,84,8,4,-0.0202,1.037,bb_bounce_a2c2ea3d,GBPJPY,bb_bounce,A×3.0,A×1.5,london,True,True,True,120,,,4.2,,,20.0,2.5
0.5255,31.33,2.39,0.0,-2.23,131.6,83,8,3,-0.0269,1.1522,bb_bounce_e7dcc942,GBPJPY,bb_bounce,A×3.0,A×0.7,london,True,True,True,60,,,2.2,,,20.0,2.5
0.8638,42.67,13.7,0.01,-11.28,1370.6,539,9,7,-0.0209,1.1605,bb_bounce_ae632e77,GBPJPY,bb_bounce,A×5.0,A×2.0,newyork,False,False,False,30,,,22.8,,,10.0,1.5
0.7702,43.34,12.42,0.01,-12.12,247.7,909,9,8,-0.0133,1.0068,bb_bounce_3fa9a4d6,GBPJPY,bb_bounce,A×4.0,A×1.0,london,True,True,True,30,,,4.1,,,20.0,1.5
0.9875,37.07,3.96,0.0,-0.27,623.9,259,11,6,-0.0011,1.6767,bb_bounce_0288bb10,GBPJPY,bb_bounce,A×5.0,A×1.5,london,True,False,True,30,,,10.4,,,10.0,2.0
4.0236,77.78,0.13,0.0,0.38,180.0,9,2,6,0.0427,1.1496,bb_bounce_2a109d33,GBPJPY,bb_bounce,A×2.0,A×0.7,london,True,True,True,30,,,3.0,,,10.0,2.5
0.7918,37.89,10.6,0.01,-10.42,128.9,1111,11,7,-0.0094,1.2977,bb_bounce_858a492c,GBPJPY,bb_bounce,A×2.0,A×0.7,london,True,True,True,30,,,2.1,,,20.0,1.5
0.9101,35.96,7.71,0.01,-4.87,667.1,623,15,4,-0.0078,1.6211,bb_bounce_2d916059,GBPJPY,bb_bounce,A×5.0,A×1.5,london,True,False,True,120,,,11.1,,,10.0,1.5
1.0672,54.73,1.57,0.0,1.06,285.0,296,8,11,0.0036,0.8828,bb_bounce_d421299d,GBPJPY,bb_bounce,A×5.0,A×1.5,london,True,True,True,0,,,4.8,,,10.0,2.0
1.1023,57.26,2.6,0.0,2.16,331.2,379,5,8,0.0057,0.8229,bb_bounce_e972a1b6,GBPJPY,bb_bounce,A×3.0,A×1.5,newyork,True,True,False,60,,,5.5,,,25.0,2.0
0.7955,43.61,7.45,0.01,-6.97,188.6,610,8,9,-0.0114,1.0287,bb_bounce_63af2bfa,GBPJPY,bb_bounce,A×3.0,A×1.0,newyork,False,True,True,30,,,3.1,,,10.0,2.0
0.7794,54.12,9.98,0.01,-9.79,375.1,691,7,8,-0.0142,0.6606,bb_bounce_1d0cd811,GBPJPY,bb_bounce,A×6.0,A×1.5,newyork,False,True,True,0,,,6.3,,,30.0,2.0
0.8753,36.64,4.63,0.0,-2.99,277.1,393,13,6,-0.0076,1.5136,bb_bounce_98dc315b,GBPJPY,bb_bounce,A×2.5,A×1.0,newyork,True,False,True,120,,,4.6,,,30.0,2.0
0.8019,42.81,4.17,0.0,-3.33,281.3,299,7,6,-0.0111,1.0713,bb_bounce_6180d4ae,GBPJPY,bb_bounce,A×4.0,A×1.0,newyork,True,True,False,60,,,4.7,,,10.0,2.0
1.105,52.29,1.85,0.0,0.85,365.5,109,8,7,0.0078,1.0081,bb_bounce_b27af868,GBPJPY,bb_bounce,A×5.0,A×2.0,london,True,True,True,30,,,6.1,,,30.0,2.5
0.9939,54.13,4.22,0.0,-0.27,311.8,763,7,9,-0.0004,0.8423,bb_bounce_4e9547c4,GBPJPY,bb_bounce,A×6.0,A×1.5,newyork,True,True,True,60,,,5.2,,,30.0,1.5
0.9423,45.88,3.94,0.0,-1.32,219.2,425,8,6,-0.0031,1.1115,bb_bounce_0cba7774,GBPJPY,bb_bounce,A×2.5,A×1.0,newyork,True,True,True,120,,,3.7,,,25.0,2.0
0.8094,43.16,5.89,0.01,-4.85,235.5,424,8,7,-0.0114,1.066,bb_bounce_5e90f205,GBPJPY,bb_bounce,A×2.5,A×1.0,london,True,True,True,120,,,3.9,,,25.0,2.0
0.9733,47.06,2.13,0.0,-0.12,272.6,68,7,4,-0.0018,1.095,bb_bounce_5016f3f9,GBPJPY,bb_bounce,A×4.0,A×1.5,newyork,True,True,True,0,,,4.5,,,14.0,2.5
0.9745,38.1,1.84,0.0,-0.16,152.4,126,11,8,-0.0013,1.5835,bb_bounce_29eefb2f,GBPJPY,bb_bounce,A×2.0,A×0.7,london,True,True,True,30,,,2.5,,,25.0,2.5
1.0317,36.05,4.19,0.0,0.6,276.5,294,10,6,0.002,1.8298,bb_bounce_f3038fa1,GBPJPY,bb_bounce,A×2.5,A×1.0,newyork,True,False,True,0,,,4.6,,,10.0,2.0
1.0258,46.35,2.52,0.0,0.53,214.5,397,7,6,0.0013,1.1875,bb_bounce_5c6ca166,GBPJPY,bb_bounce,A×4.0,A×1.0,newyork,True,True,True,60,,,3.6,,,25.0,2.0
0.9574,51.52,2.48,0.0,-0.99,241.5,396,8,10,-0.0025,0.9011,bb_bounce_02c14800,GBPJPY,bb_bounce,A×3.0,A×1.5,london,True,True,True,120,,,4.0,,,25.0,2.0
0.835,36.88,3.83,0.0,-3.36,140.9,442,22,5,-0.0076,1.4293,bb_bounce_eb41bd2d,GBPJPY,bb_bounce,A×2.0,A×0.7,london,True,True,True,60,,,2.3,,,20.0,2.0
1.0649,45.37,1.35,0.0,0.4,278.9,108,5,4,0.0037,1.2822,bb_bounce_bce31056,GBPJPY,bb_bounce,A×4.0,A×1.0,newyork,True,True,True,60,,,4.6,,,30.0,2.5
0.7293,16.13,16.61,0.02,-15.73,1956.1,341,20,4,-0.0461,3.7923,bb_bounce_4396754b,GBPJPY,bb_bounce,A×6.0,A×1.5,london,True,False,False,120,,,32.6,,,20.0,1.5
0.7989,40.32,20.63,0.02,-19.22,429.5,1245,9,7,-0.0154,1.1824,bb_bounce_8505c3d7,GBPJPY,bb_bounce,A×4.0,A×1.5,newyork,False,False,True,120,,,7.2,,,14.0,1.5
0.802,45.32,7.92,0.01,-6.83,252.9,587,8,10,-0.0116,0.9679,bb_bounce_909f087a,GBPJPY,bb_bounce,A×4.0,A×1.0,newyork,False,True,True,120,,,4.2,,,10.0,2.0
