pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,category,rsi_period,oversold,overbought,tp_type,sl_type,session_filter,has_htf_filter,has_vola_filter,has_breakeven,max_bars,avg_hold_min,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork,pair_tf,pf_capped
2.1787,75.0,0.31,0.0,0.69,9562.5,8,1,4,0.0857,0.7262,rsi_reversal_41245532,USDJPY,M5,mean_reversion,14,30,70,atr_mult,fixed,all,True,True,True,120,159.4,0.42,0.27,0.0,4,2,2,USDJPY_M5,2.1787
0.4777,9.14,6.53,0.01,-6.53,2538.9,175,33,3,-0.0373,4.7468,rsi_reversal_7dabc487,USDJPY,M5,mean_reversion,7,25,75,fixed,fixed,london,False,True,False,60,42.3,-1.11,-5.42,0.0,42,133,0,USDJPY_M5,0.4777
0.6283,15.52,3.19,0.0,-2.01,4924.1,58,21,2,-0.0347,3.421,rsi_reversal_f4b816da,USDJPY,M5,mean_reversion,10,32,68,atr_mult,atr_mult,tokyo,True,False,False,60,82.1,-2.01,0.0,0.0,58,0,0,USDJPY_M5,0.6283
0.6054,21.43,2.25,0.0,-1.83,1555.7,70,16,2,-0.0262,2.2198,rsi_reversal_3fde7dba,USDJPY,M5,mean_reversion,18,30,70,atr_mult,fixed,tokyo,False,False,True,240,25.9,-1.83,0.0,0.0,70,0,0,USDJPY_M5,0.6054
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_1291162e,USDJPY,M5,mean_reversion,21,25,75,fixed,atr_mult,all,True,True,False,240,0.0,0.0,0.0,0.0,0,0,0,USDJPY_M5,0.0
0.5998,25.58,5.78,0.01,-4.41,7346.5,86,23,5,-0.0513,1.7448,rsi_reversal_e4af5c24,USDJPY,M5,mean_reversion,10,28,72,fixed,fixed,london,False,True,True,0,122.4,-1.17,-3.25,0.0,20,66,0,USDJPY_M5,0.5998
1.0462,33.33,0.39,0.0,0.02,25000.0,3,2,1,0.006,2.0923,rsi_reversal_3265c873,USDJPY,M5,mean_reversion,21,32,68,fixed,fixed,tokyo,True,False,False,0,416.7,0.02,0.0,0.0,3,0,0,USDJPY_M5,1.0462
1.7103,40.0,0.29,0.0,0.38,2010.0,10,3,4,0.0385,2.5655,rsi_reversal_ee52023a,USDJPY,M5,mean_reversion,21,32,68,fixed,fixed,all,True,True,False,240,33.5,0.07,0.2,0.11,3,4,3,USDJPY_M5,1.7103
0.5639,33.33,0.25,0.0,-0.17,6100.0,3,1,1,-0.058,1.1278,rsi_reversal_1188e06f,USDJPY,M5,mean_reversion,18,20,80,fixed,fixed,tokyo,False,True,False,120,101.7,-0.17,0.0,0.0,3,0,0,USDJPY_M5,0.5639
inf,100.0,0.0,0.0,0.12,3000.0,1,0,1,0.115,0.0,rsi_reversal_14c139bd,USDJPY,M5,mean_reversion,21,32,68,atr_mult,fixed,newyork,True,False,False,120,50.0,0.0,0.0,0.12,0,0,1,USDJPY_M5,10.0
inf,100.0,0.0,0.0,0.31,9750.0,2,0,2,0.155,0.0,rsi_reversal_7b31689d,USDJPY,M5,mean_reversion,14,28,72,atr_mult,fixed,newyork,True,False,True,0,162.5,0.0,0.0,0.31,0,0,2,USDJPY_M5,10.0
0.4701,54.39,4.65,0.0,-4.66,1821.1,114,5,5,-0.0408,0.3942,rsi_reversal_a82449b9,USDJPY,M5,mean_reversion,18,35,65,fixed,fixed,london,False,True,True,60,30.4,-1.44,-3.21,0.0,19,95,0,USDJPY_M5,0.4701
0.7986,76.36,1.6,0.0,-0.76,4200.0,55,3,9,-0.0138,0.2472,rsi_reversal_c4bf3fd8,USDJPY,M5,mean_reversion,21,35,65,fixed,fixed,tokyo,False,True,False,0,70.0,-0.76,0.0,0.0,55,0,0,USDJPY_M5,0.7986
