pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,tf,sig_type,cat,tp_d,sl_d,sess,lv,be,trail,trail_type,mb,hold_m,pnl_tokyo,tr_tokyo,pnl_london,tr_london,pnl_newyork,tr_newyork
inf,100.0,0.0,0.0,0.19,240.0,1,0,1,0.189,0.0,wick_reversal_6ab1a2ae,GBPJPY,M1,wick_reversal,mean_reversion,A×4.0,A×1.5,london,False,True,True,fixed,60,4.0,0.0,0,0.19,1,0.0,0
0.7464,42.11,12.09,0.01,-11.73,206.5,805,14,8,-0.0146,1.0261,bb_bounce_78dc8187,GBPJPY,M1,bb_bounce,mean_reversion,A×4.0,A×1.0,london,False,True,True,atr_mult,0,3.4,-0.58,167,-11.15,638,0.0,0
0.8059,40.13,4.49,0.0,-3.46,88.0,461,9,9,-0.0075,1.2023,bb_bounce_5ef2145a,GBPJPY,M1,bb_bounce,mean_reversion,20p,7p,newyork,True,True,False,,120,1.5,0.0,0,-0.63,163,-2.84,298
0.789,44.38,34.87,0.03,-34.12,230.7,2704,15,9,-0.0126,0.9889,wick_reversal_70108ace,GBPJPY,M1,wick_reversal,mean_reversion,A×2.5,A×1.0,london,False,True,True,atr_mult,120,3.8,-11.32,625,-22.8,2079,0.0,0
0.0,0.0,0.03,0.0,-0.03,180.0,1,1,0,-0.033,0.0,atr_break_69e9ef1b,GBPJPY,M1,atr_break,breakout,A×4.0,A×1.5,newyork,True,True,True,atr_mult,60,3.0,0.0,0,-0.03,1,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_c4c89459,GBPJPY,M1,atr_break,breakout,15p,15p,london,True,True,True,atr_mult,60,0.0,0.0,0,0.0,0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_a5fb11ac,GBPJPY,M1,atr_break,breakout,A×3.0,A×1.5,london,True,True,True,atr_mult,60,0.0,0.0,0,0.0,0,0.0,0
0.7587,40.08,29.37,0.03,-28.72,83.8,3126,13,9,-0.0092,1.1341,wick_reversal_ce382754,GBPJPY,M1,wick_reversal,mean_reversion,20p,7p,london,True,True,True,atr_mult,0,1.4,-6.6,699,-22.11,2427,0.0,0
0.6998,41.76,11.55,0.01,-11.3,71.0,1013,13,7,-0.0112,0.976,bb_bounce_f7bd2e5e,GBPJPY,M1,bb_bounce,mean_reversion,15p,5p,newyork,False,True,False,,120,1.2,0.0,0,-4.7,363,-6.6,650
0.855,41.44,3.6,0.0,-2.37,83.2,473,10,5,-0.005,1.2084,donchian_break_b9635ba6,GBPJPY,M1,donchian_break,breakout,20p,7p,newyork,False,True,True,atr_mult,120,1.4,0.0,0,-0.03,170,-2.34,303
0.8061,36.7,1.86,0.0,-1.57,91.9,188,20,6,-0.0084,1.3902,donchian_break_9434c230,GBPJPY,M1,donchian_break,breakout,20p,7p,london,True,False,True,atr_mult,60,1.5,-0.89,45,-0.69,143,0.0,0
0.8158,41.12,9.02,0.01,-8.26,85.1,1211,11,7,-0.0068,1.1679,bb_bounce_4e0a111c,GBPJPY,M1,bb_bounce,mean_reversion,20p,7p,newyork,True,True,True,atr_mult,0,1.4,0.0,0,-2.36,418,-5.9,793
0.8426,39.41,8.41,0.01,-7.91,141.0,1114,11,8,-0.0071,1.2955,bb_bounce_15549542,GBPJPY,M1,bb_bounce,mean_reversion,A×2.0,A×0.7,london,True,True,False,,60,2.4,-2.46,246,-5.45,868,0.0,0
0.9697,46.28,1.19,0.0,-0.3,68.3,309,8,5,-0.001,1.1257,hilo_break_2f76d49a,GBPJPY,M1,hilo_break,breakout,15p,5p,london,True,True,True,atr_mult,30,1.1,-0.41,77,0.11,232,0.0,0
0.7011,37.89,13.29,0.01,-13.11,100.9,1016,15,7,-0.0129,1.1491,bb_bounce_8bbecc89,GBPJPY,M1,bb_bounce,mean_reversion,20p,10p,newyork,False,True,True,atr_mult,0,1.7,0.0,0,-5.7,352,-7.41,664
0.9112,52.9,8.79,0.01,-7.83,215.0,1639,7,7,-0.0048,0.8113,wick_reversal_e90199e5,GBPJPY,M1,wick_reversal,mean_reversion,A×3.0,A×1.5,newyork,True,True,True,fixed,60,3.6,0.0,0,1.31,566,-9.14,1073
0.9245,39.6,1.11,0.0,-0.25,77.2,101,8,3,-0.0025,1.4099,atr_break_9aa781ad,GBPJPY,M1,atr_break,breakout,20p,7p,london,False,True,True,fixed,120,1.3,-0.1,24,-0.15,77,0.0,0
0.8357,39.69,6.84,0.01,-4.4,161.4,572,9,5,-0.0077,1.2702,hilo_break_0b99e8b0,GBPJPY,M1,hilo_break,breakout,A×2.0,A×0.7,london,False,True,False,,120,2.7,-2.76,139,-1.64,433,0.0,0
1.3704,44.44,0.62,0.0,0.55,113.3,45,8,3,0.0122,1.7131,atr_break_029be463,GBPJPY,M1,atr_break,breakout,20p,10p,newyork,True,False,True,atr_mult,60,1.9,0.0,0,0.34,16,0.2,29
0.0,0.0,0.13,0.0,-0.13,60.0,2,2,0,-0.0675,0.0,atr_break_556af88b,GBPJPY,M1,atr_break,breakout,15p,15p,newyork,False,True,True,atr_mult,30,1.0,0.0,0,-0.03,1,-0.11,1
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_04439bf0,GBPJPY,M1,atr_break,breakout,A×5.0,A×1.5,newyork,True,False,True,fixed,120,0.0,0.0,0,0.0,0,0.0,0
0.54,30.0,2.61,0.0,-2.44,166.5,80,9,3,-0.0305,1.2599,bb_bounce_0ea60fb5,GBPJPY,M1,bb_bounce,mean_reversion,A×2.0,A×1.0,london,True,False,True,atr_mult,120,2.8,-0.12,13,-2.32,67,0.0,0
0.8082,39.65,5.58,0.01,-3.72,157.3,396,14,5,-0.0094,1.2304,donchian_break_3ffe263d,GBPJPY,M1,donchian_break,breakout,A×2.0,A×0.7,london,False,True,True,atr_mult,60,2.6,-1.59,93,-2.13,303,0.0,0
0.8188,45.04,30.8,0.03,-28.96,185.7,3006,12,8,-0.0096,0.9991,wick_reversal_8b74d7a9,GBPJPY,M1,wick_reversal,mean_reversion,A×2.0,A×1.0,newyork,False,True,True,atr_mult,60,3.1,0.0,0,-0.47,993,-28.49,2013
0.8535,41.45,6.64,0.01,-5.16,99.3,883,14,7,-0.0058,1.2056,donchian_break_3dcf0ffe,GBPJPY,M1,donchian_break,breakout,20p,10p,newyork,False,True,True,atr_mult,120,1.7,0.0,0,0.35,306,-5.51,577
0.8566,48.24,5.26,0.01,-2.93,151.5,425,9,12,-0.0069,0.9193,bb_bounce_a725fde7,GBPJPY,M1,bb_bounce,mean_reversion,A×2.0,A×1.0,newyork,True,True,True,fixed,120,2.5,0.0,0,-1.36,159,-1.57,266
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_b6eacfcb,GBPJPY,M1,atr_break,breakout,15p,5p,newyork,False,True,True,atr_mult,0,0.0,0.0,0,0.0,0,0.0,0
0.7044,33.16,7.55,0.01,-7.2,245.3,377,17,5,-0.0191,1.4201,bb_bounce_7844dcdf,GBPJPY,M1,bb_bounce,mean_reversion,A×2.5,A×1.0,london,True,False,True,atr_mult,0,4.1,-0.98,68,-6.21,309,0.0,0
0.712,39.45,11.68,0.01,-11.63,83.1,1062,11,8,-0.011,1.0926,bb_bounce_ed7cad0a,GBPJPY,M1,bb_bounce,mean_reversion,20p,7p,newyork,False,True,True,fixed,0,1.4,0.0,0,-4.58,369,-7.05,693
