pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,session,htf_period,bb_touch_period,bb_touch_std,atr_low_vola_lb,wick_ratio,has_htf,has_bb_touch,has_atr_low_vola,has_wick_dir,n_struct_filters,tp_type,sl_type,has_breakeven,max_bars,avg_hold_min,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork
0.7585,50.0,1.34,0.0,-0.59,2625.0,16,4,2,-0.0366,0.7585,rsi_reversal_6f7490c9,GBPJPY,M5,newyork,0,14,2.0,200,0.0,False,True,True,False,2,atr_mult,fixed,True,0,43.8,0.0,-0.18,-0.41,0,7,9
0.9771,48.0,1.1,0.0,-0.07,3060.0,25,4,3,-0.0027,1.0585,rsi_reversal_89a45537,GBPJPY,M5,london,0,20,1.5,60,0.0,False,True,True,False,2,atr_mult,atr_mult,False,60,51.0,-0.64,0.57,0.0,5,20,0
0.7729,52.78,1.74,0.0,-1.17,5033.3,36,4,5,-0.0324,0.6915,rsi_reversal_e76eaade,GBPJPY,M5,london,0,20,1.5,0,1.0,False,True,False,True,2,atr_mult,fixed,True,60,83.9,-0.05,-1.12,0.0,5,31,0
0.9223,26.83,1.75,0.0,-0.36,3629.3,41,12,3,-0.0087,2.5154,rsi_reversal_1c34eb39,GBPJPY,M5,london,0,20,1.5,0,1.5,False,True,False,True,2,atr_mult,atr_mult,False,120,60.5,-0.02,-0.34,0.0,7,34,0
0.7063,41.03,2.13,0.0,-1.71,4407.7,39,5,3,-0.0438,1.0153,rsi_reversal_ba31e204,GBPJPY,M5,london,0,20,1.5,0,1.5,False,True,False,True,2,fixed,atr_mult,True,0,73.5,-0.65,-1.05,0.0,7,32,0
0.6477,21.57,1.6,0.0,-1.6,2276.5,51,16,2,-0.0314,2.3553,rsi_reversal_c4186b0b,GBPJPY,M5,london,0,20,1.5,0,1.0,False,True,False,True,2,fixed,fixed,True,60,37.9,-0.44,-1.16,0.0,9,42,0
0.3526,18.92,4.33,0.0,-4.33,1183.8,74,9,2,-0.0586,1.5112,rsi_reversal_e1e69ed9,GBPJPY,M5,newyork,0,20,1.5,0,1.0,False,True,False,True,2,atr_mult,fixed,True,0,19.7,0.0,-1.03,-3.3,0,26,48
0.5764,20.83,2.49,0.0,-1.8,5587.5,24,11,3,-0.0751,2.1903,rsi_reversal_e8507f5b,GBPJPY,M5,london,0,0,0.0,200,1.0,False,False,True,True,2,atr_mult,atr_mult,False,120,93.1,-0.91,-0.89,0.0,4,20,0
0.6226,37.84,1.78,0.0,-1.22,1418.9,37,6,4,-0.033,1.0228,rsi_reversal_9f993c08,GBPJPY,M5,newyork,0,0,0.0,100,1.5,False,False,True,True,2,atr_mult,atr_mult,True,120,23.6,0.0,-0.96,-0.26,0,14,23
0.6778,47.06,1.74,0.0,-1.18,2532.4,34,4,3,-0.0349,0.7625,rsi_reversal_ad9ff132,GBPJPY,M5,newyork,0,0,0.0,100,0.8,False,False,True,True,2,fixed,atr_mult,True,60,42.2,0.0,-0.98,-0.2,0,14,20
0.744,26.09,1.78,0.0,-1.24,2289.1,46,7,3,-0.0269,2.108,rsi_reversal_c112594f,GBPJPY,M5,newyork,0,0,0.0,200,0.8,False,False,True,True,2,atr_mult,atr_mult,True,0,38.2,0.0,-0.54,-0.69,0,17,29
0.6326,45.0,1.63,0.0,-1.29,5550.0,20,3,3,-0.0645,0.7732,rsi_reversal_a54a5658,GBPJPY,M5,london,0,0,0.0,100,0.8,False,False,True,True,2,atr_mult,fixed,True,120,92.5,-0.41,-0.88,0.0,3,17,0
0.6935,20.0,2.56,0.0,-1.82,5325.0,60,19,2,-0.0303,2.7738,rsi_reversal_778c3443,USDJPY,M5,london,0,0,0.0,0,0.0,False,False,False,False,0,fixed,fixed,False,60,88.8,-0.35,-1.47,0.0,14,46,0
0.7397,21.67,2.47,0.0,-1.46,5010.0,60,19,2,-0.0243,2.6744,rsi_reversal_d07a9a94,USDJPY,M5,london,0,0,0.0,0,0.0,False,False,False,False,0,fixed,fixed,True,120,83.5,-0.54,-0.92,0.0,14,46,0
0.5342,21.05,2.78,0.0,-2.55,4257.9,57,8,2,-0.0447,2.0034,rsi_reversal_1d7672c6,USDJPY,M5,newyork,0,0,0.0,0,0.0,False,False,False,False,0,atr_mult,fixed,True,0,71.0,0.0,-1.31,-1.24,0,26,31
0.6782,21.67,2.47,0.0,-1.8,4580.0,60,19,2,-0.0301,2.4518,rsi_reversal_17e788d9,USDJPY,M5,london,0,0,0.0,0,0.0,False,False,False,False,0,atr_mult,fixed,True,0,76.3,-0.39,-1.42,0.0,14,46,0
1.0241,53.49,1.16,0.0,0.11,5260.5,43,3,5,0.0025,0.8905,rsi_reversal_395d89e7,USDJPY,M5,newyork,0,0,0.0,0,0.0,False,False,False,False,0,atr_mult,fixed,False,0,87.7,0.0,0.63,-0.53,0,22,21
0.6249,39.58,2.35,0.0,-1.77,4706.2,48,5,5,-0.0369,0.9538,rsi_reversal_d2cddc98,USDJPY,M5,newyork,0,0,0.0,0,0.0,False,False,False,False,0,atr_mult,atr_mult,True,60,78.4,0.0,-0.08,-1.69,0,22,26
0.9886,52.0,1.38,0.0,-0.04,3948.0,50,5,4,-0.0009,0.9125,rsi_reversal_ca147bf1,USDJPY,M5,london,0,0,0.0,0,0.0,False,False,False,False,0,fixed,atr_mult,True,60,65.8,-0.67,0.62,0.0,12,38,0
0.7171,36.07,1.55,0.0,-1.32,2488.5,61,5,4,-0.0217,1.2712,rsi_reversal_a841f788,USDJPY,M5,london,0,0,0.0,0,0.0,False,False,False,False,0,atr_mult,fixed,True,0,41.5,-0.6,-0.72,0.0,14,47,0
