pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,category,rsi_period,oversold,overbought,tp_type,sl_type,session_filter,has_htf_filter,has_vola_filter,has_breakeven,max_bars,avg_hold_min,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork
0.0857,50.0,0.38,0.0,-0.35,3900.0,2,1,1,-0.176,0.0857,rsi_reversal_399a57fd,EURJPY,M5,mean_reversion,21,20,80,fixed,atr_mult,newyork,False,True,True,0,65.0,0.0,0.0,-0.35,0,0,2
0.6739,50.0,0.31,0.0,-0.26,3500.0,6,1,2,-0.0427,0.6739,rsi_reversal_51620aa6,EURJPY,M5,mean_reversion,14,25,75,atr_mult,fixed,tokyo,True,False,False,0,58.3,-0.26,0.0,0.0,6,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_2924612b,EURJPY,M5,mean_reversion,18,20,80,fixed,fixed,tokyo,True,False,True,0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_dc8b2d3b,EURJPY,M5,mean_reversion,14,20,80,atr_mult,fixed,all,True,True,False,60,0.0,0.0,0.0,0.0,0,0,0
0.5025,22.61,51.4,0.05,-51.04,154.2,1566,22,5,-0.0326,1.7204,rsi_reversal_87642fef,GBPJPY,M1,mean_reversion,7,28,72,fixed,fixed,newyork,False,True,True,240,2.6,0.0,-23.15,-27.9,0,568,998
0.4265,19.57,2.09,0.0,-1.81,160.4,46,13,3,-0.0393,1.7533,rsi_reversal_98668bee,GBPJPY,M1,mean_reversion,21,30,70,fixed,fixed,all,True,True,True,60,2.7,-0.92,0.13,-1.02,15,13,18
0.9847,46.88,1.25,0.0,-0.04,333.8,32,3,4,-0.0013,1.116,rsi_reversal_08f68746,GBPJPY,M1,mean_reversion,21,32,68,fixed,fixed,newyork,True,False,False,60,5.6,0.0,0.47,-0.51,0,14,18
0.6881,24.78,18.32,0.02,-16.68,733.6,464,15,3,-0.0359,2.0881,rsi_reversal_316c4c2b,GBPJPY,M1,mean_reversion,14,30,70,atr_mult,fixed,tokyo,False,True,True,60,12.2,-16.68,0.0,0.0,464,0,0
0.8341,16.67,0.36,0.0,-0.11,410.0,12,5,1,-0.0092,4.1704,rsi_reversal_05df4dd6,GBPJPY,M1,mean_reversion,14,25,75,fixed,fixed,london,True,False,True,60,6.8,-0.14,0.03,0.0,2,10,0
0.775,40.91,0.48,0.0,-0.24,95.5,22,3,3,-0.0108,1.1195,rsi_reversal_b50fcceb,GBPJPY,M1,mean_reversion,21,28,72,fixed,fixed,all,True,True,True,0,1.6,-0.21,-0.18,0.15,8,6,8
0.9156,27.64,3.28,0.0,-1.15,796.6,123,10,3,-0.0093,2.3967,rsi_reversal_80b5f496,GBPJPY,M1,mean_reversion,7,20,80,atr_mult,fixed,london_ny,True,False,True,240,13.3,-0.67,-3.47,3.0,17,59,47
0.4445,36.3,63.02,0.06,-62.83,89.3,2113,17,6,-0.0297,0.78,rsi_reversal_fb3bfe9e,GBPJPY,M1,mean_reversion,10,30,70,fixed,fixed,london_ny,False,True,True,240,1.5,-7.44,-34.94,-20.46,274,1028,811
0.6044,72.28,12.98,0.01,-12.05,434.0,386,5,22,-0.0312,0.2318,rsi_reversal_4c819dbe,GBPJPY,M1,mean_reversion,10,32,68,fixed,atr_mult,london_ny,True,False,True,120,7.2,-2.33,-7.2,-2.52,52,188,146
0.6083,48.99,29.19,0.03,-28.36,761.3,445,8,7,-0.0637,0.6335,rsi_reversal_c3e5abb9,GBPJPY,M1,mean_reversion,10,28,72,fixed,fixed,london,False,False,True,60,12.7,-1.8,-26.56,0.0,96,349,0
0.5168,63.33,1.65,0.0,-1.24,264.0,30,3,6,-0.0413,0.2992,rsi_reversal_1f4663e6,GBPJPY,M1,mean_reversion,14,28,72,fixed,atr_mult,tokyo,True,False,True,0,4.4,-1.24,0.0,0.0,30,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_cba164b0,GBPJPY,M1,mean_reversion,21,25,75,fixed,atr_mult,london_ny,True,False,True,60,0.0,0.0,0.0,0.0,0,0,0
0.7469,63.55,36.23,0.04,-34.53,1007.2,878,9,10,-0.0393,0.4283,rsi_reversal_3bec2b0b,GBPJPY,M1,mean_reversion,10,32,68,atr_mult,atr_mult,london_ny,False,True,True,60,16.8,-1.09,-25.86,-7.58,122,412,344
0.4937,20.65,40.32,0.04,-39.91,244.4,1235,21,6,-0.0323,1.8972,rsi_reversal_7b6468aa,GBPJPY,M1,mean_reversion,10,30,70,atr_mult,fixed,tokyo,False,True,True,60,4.1,-39.91,0.0,0.0,1235,0,0
0.2966,27.27,0.91,0.0,-0.91,294.5,11,4,2,-0.083,0.791,rsi_reversal_d5d7e41f,GBPJPY,M1,mean_reversion,18,20,80,fixed,fixed,newyork,False,False,True,0,4.9,0.0,-0.29,-0.63,0,7,4
0.7056,46.35,12.52,0.01,-9.6,832.3,274,9,8,-0.0351,0.8167,rsi_reversal_7edf0392,GBPJPY,M1,mean_reversion,14,32,68,atr_mult,atr_mult,all,True,True,True,240,13.9,-3.31,-4.46,-1.83,108,85,81
0.9186,61.84,11.2,0.01,-4.82,1224.9,456,5,11,-0.0106,0.5668,rsi_reversal_291ec70d,GBPJPY,M1,mean_reversion,7,25,75,atr_mult,atr_mult,all,True,False,True,60,20.4,-0.87,-7.99,4.03,175,131,150
0.9249,28.57,10.83,0.01,-6.42,1490.3,497,14,5,-0.0129,2.3122,rsi_reversal_f4868c38,GBPJPY,M1,mean_reversion,7,28,72,atr_mult,atr_mult,all,True,False,False,120,24.8,-0.83,-4.4,-1.2,193,140,164
0.3818,12.05,3.39,0.0,-3.38,227.7,83,23,2,-0.0407,2.7872,rsi_reversal_646424a9,GBPJPY,M1,mean_reversion,14,28,72,atr_mult,fixed,all,True,True,True,120,3.8,-1.37,-0.91,-1.1,38,27,18
0.6248,33.56,34.91,0.03,-34.32,378.7,864,10,5,-0.0397,1.2366,rsi_reversal_720ec65b,GBPJPY,M1,mean_reversion,21,35,65,fixed,fixed,london_ny,False,True,True,0,6.3,-2.19,-22.63,-9.5,114,416,334
0.4339,19.09,42.32,0.04,-41.53,155.4,1074,32,4,-0.0387,1.8395,rsi_reversal_38445148,GBPJPY,M1,mean_reversion,14,30,70,fixed,fixed,london_ny,False,True,True,120,2.6,-3.58,-25.7,-12.24,128,546,400
0.5851,31.91,18.47,0.02,-17.05,547.8,398,11,6,-0.0428,1.2486,rsi_reversal_22e6faba,GBPJPY,M1,mean_reversion,10,25,75,atr_mult,fixed,newyork,False,True,True,60,9.1,0.0,-10.23,-6.82,0,158,240
0.5077,50.92,30.23,0.03,-29.85,164.0,874,8,7,-0.0342,0.4894,rsi_reversal_53bbde38,GBPJPY,M1,mean_reversion,18,35,65,fixed,fixed,london,False,True,True,60,2.7,-4.44,-25.41,0.0,190,684,0
6.4211,66.67,0.02,0.0,0.1,80.0,3,1,2,0.0343,3.2105,rsi_reversal_33d1ad28,GBPJPY,M1,mean_reversion,14,20,80,fixed,fixed,all,True,False,True,120,1.3,0.06,-0.02,0.06,1,1,1
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_3af2f7a1,GBPJPY,M1,mean_reversion,21,20,80,fixed,fixed,all,True,True,False,60,0.0,0.0,0.0,0.0,0,0,0
0.6432,34.27,8.04,0.01,-7.34,329.6,213,11,3,-0.0345,1.2335,rsi_reversal_ef40a5f0,GBPJPY,M1,mean_reversion,21,30,70,fixed,atr_mult,tokyo,False,False,False,60,5.5,-7.34,0.0,0.0,213,0,0
0.403,34.18,24.49,0.02,-24.31,88.3,711,12,4,-0.0342,0.7761,rsi_reversal_9e93aebf,GBPJPY,M1,mean_reversion,18,30,70,fixed,fixed,london_ny,False,True,True,120,1.5,-2.59,-13.63,-8.09,80,373,258
0.6392,53.3,13.13,0.01,-12.82,1378.9,212,5,7,-0.0605,0.56,rsi_reversal_43c596c9,GBPJPY,M1,mean_reversion,14,28,72,atr_mult,atr_mult,london,False,True,True,120,23.0,-0.11,-12.71,0.0,42,170,0
0.9501,26.57,2.95,0.0,-0.8,655.4,143,10,5,-0.0056,2.6252,rsi_reversal_72590aee,GBPJPY,M1,mean_reversion,10,25,75,fixed,atr_mult,all,True,True,False,240,10.9,-0.07,-2.59,1.86,59,44,40
0.5817,58.46,22.61,0.02,-20.44,1081.8,272,5,10,-0.0751,0.4134,rsi_reversal_1239b9f7,GBPJPY,M1,mean_reversion,14,30,70,atr_mult,atr_mult,tokyo,False,True,False,60,18.0,-20.44,0.0,0.0,272,0,0
0.8067,63.16,9.64,0.01,-6.97,1322.5,266,6,9,-0.0262,0.4706,rsi_reversal_d860fa38,GBPJPY,M1,mean_reversion,7,32,68,atr_mult,atr_mult,newyork,True,False,True,60,22.0,0.0,-7.28,0.31,0,92,174
0.4954,28.67,26.18,0.03,-25.08,1133.0,300,17,3,-0.0836,1.2328,rsi_reversal_5720c953,GBPJPY,M1,mean_reversion,18,32,68,atr_mult,atr_mult,newyork,False,True,True,120,18.9,0.0,-9.18,-15.89,0,116,184
0.1228,33.33,0.51,0.0,-0.45,880.0,3,2,1,-0.15,0.2456,rsi_reversal_a7dd6ee3,GBPJPY,M1,mean_reversion,21,30,70,atr_mult,atr_mult,london,True,False,True,120,14.7,0.0,-0.45,0.0,0,3,0
0.6072,16.7,15.6,0.02,-12.54,348.9,479,39,4,-0.0262,3.0286,rsi_reversal_590a877a,GBPJPY,M1,mean_reversion,14,32,68,atr_mult,fixed,all,True,True,True,0,5.8,-3.87,-5.48,-3.18,190,148,141
0.5541,25.27,2.95,0.0,-2.67,179.3,91,12,3,-0.0293,1.6382,rsi_reversal_34b73b2b,GBPJPY,M1,mean_reversion,7,20,80,atr_mult,fixed,tokyo,True,False,False,240,3.0,-2.67,0.0,0.0,91,0,0
