rank,pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
651,0.0683,8.57,74.0,0.07,-74.0,430.3,350,momentum_17b05b7d,USDJPY,M1
652,0.0682,25.4,30.5,0.03,-30.5,779.0,126,ema_cross_f0deb4f0,EURJPY,M1
653,0.0675,7.37,42.23,0.04,-42.23,707.4,190,bb_bounce_87b909f7,EURJPY,M5
654,0.066,23.68,59.14,0.06,-59.14,1615.0,266,momentum_31690f5b,USDJPY,M5
655,0.0659,13.89,15.35,0.02,-15.35,518.3,72,rsi_reversal_93ef9480,USDJPY,M1
656,0.0658,10.28,25.73,0.03,-25.73,650.5,107,bb_bounce_ba35fab5,EURJPY,M5
657,0.0648,7.25,94.9,0.09,-94.58,312.6,414,momentum_17419ccb,GBPJPY,M1
658,0.0637,14.09,42.76,0.04,-42.76,1359.1,149,donchian_break_c3e2df3a,EURJPY,M5
659,0.0627,8.24,16.31,0.02,-16.31,2428.2,85,rsi_reversal_2b0309c5,USDJPY,M5
660,0.0627,23.85,29.52,0.03,-29.2,801.2,130,ema_cross_05fb5502,USDJPY,M1
661,0.0621,25.32,45.42,0.05,-45.05,3034.2,158,donchian_break_c367b371,GBPJPY,M5
662,0.0617,7.95,19.45,0.02,-18.98,262.5,88,bb_break_eda60187,EURJPY,M1
663,0.0606,27.27,23.54,0.02,-23.47,795.3,110,ema_cross_f0deb4f0,USDJPY,M1
664,0.0604,13.33,17.38,0.02,-17.38,1184.0,75,donchian_break_a79cad69,USDJPY,M5
665,0.0603,4.85,65.97,0.07,-65.54,465.9,268,rsi_reversal_de920a1b,EURJPY,M1
666,0.0597,25.0,2.96,0.0,-2.86,1260.0,8,rsi_reversal_9ceb6cfe,GBPJPY,M1
667,0.0595,24.02,42.59,0.04,-42.47,1696.1,179,ema_cross_902d3a73,EURJPY,M5
668,0.0593,21.57,25.43,0.03,-25.43,2367.6,102,bb_break_6fc3d727,USDJPY,M5
669,0.059,18.31,78.42,0.08,-78.42,686.9,366,momentum_31690f5b,GBPJPY,M5
670,0.0581,21.97,43.66,0.04,-43.62,1274.6,173,ema_cross_902d3a73,GBPJPY,M5
671,0.0569,10.53,24.05,0.02,-24.05,2015.8,114,ema_cross_1426d360,USDJPY,M5
672,0.0567,8.45,14.78,0.01,-14.75,338.9,71,ema_cross_abdcab58,GBPJPY,M1
673,0.0567,4.04,21.53,0.02,-21.53,226.1,99,bb_break_eda60187,USDJPY,M1
674,0.0564,7.53,21.29,0.02,-21.29,239.4,93,bb_break_eda60187,GBPJPY,M1
675,0.0547,13.33,19.31,0.02,-19.31,1903.3,90,rsi_reversal_2b0309c5,EURJPY,M5
676,0.0545,11.85,32.44,0.03,-32.31,1646.7,135,ema_cross_1426d360,EURJPY,M5
677,0.0534,22.96,27.81,0.03,-27.64,508.4,135,donchian_break_c3e2df3a,GBPJPY,M1
678,0.053,5.32,22.46,0.02,-22.46,817.0,94,ema_cross_c0bc017b,GBPJPY,M5
679,0.053,13.19,40.85,0.04,-40.85,1445.6,182,rsi_trend_d93f8fad,USDJPY,M5
680,0.053,20.24,58.09,0.06,-58.09,463.7,247,momentum_4861fb73,EURJPY,M1
681,0.0529,12.23,30.31,0.03,-30.31,511.5,139,bb_bounce_ba35fab5,GBPJPY,M5
682,0.0526,16.79,59.17,0.06,-59.13,1736.8,280,bb_break_d3dc0be4,GBPJPY,M5
683,0.0521,26.47,19.16,0.02,-19.16,2898.5,68,ema_cross_b1324308,USDJPY,M5
684,0.052,28.57,2.42,0.0,-2.37,1654.3,7,rsi_reversal_151341dc,EURJPY,M1
685,0.0514,9.38,38.86,0.04,-38.86,561.0,160,momentum_6294ece1,GBPJPY,M1
686,0.0513,16.67,22.73,0.02,-22.69,1300.0,96,bb_break_591b1a3c,GBPJPY,M5
687,0.0512,18.67,11.49,0.01,-11.48,1059.2,75,rsi_reversal_b2d696ef,EURJPY,M1
688,0.0501,25.78,26.76,0.03,-26.65,592.5,128,donchian_break_88941f39,GBPJPY,M1
689,0.0497,19.28,15.02,0.02,-14.91,451.8,83,bb_break_591b1a3c,GBPJPY,M1
690,0.049,16.37,49.39,0.05,-49.32,683.6,226,momentum_3c40121e,GBPJPY,M5
691,0.0487,10.47,20.94,0.02,-20.94,893.0,86,momentum_ec4b3173,EURJPY,M5
692,0.0476,7.43,38.95,0.04,-38.95,1135.1,148,donchian_break_67ae5630,EURJPY,M5
693,0.0473,19.31,35.35,0.04,-35.35,3008.3,145,donchian_break_c367b371,EURJPY,M5
694,0.0468,8.0,18.9,0.02,-18.9,904.0,75,donchian_break_a79cad69,EURJPY,M5
695,0.0462,13.79,19.91,0.02,-19.91,1662.1,87,bb_break_591b1a3c,EURJPY,M5
696,0.0462,21.51,18.71,0.02,-18.72,591.0,93,bb_break_6fc3d727,GBPJPY,M1
697,0.0462,14.77,18.88,0.02,-18.88,869.3,88,momentum_ec4b3173,USDJPY,M5
698,0.0433,22.22,11.64,0.01,-11.64,784.0,45,rsi_reversal_76543b15,USDJPY,M1
699,0.043,8.74,24.91,0.02,-24.68,255.1,103,donchian_break_a79cad69,GBPJPY,M1
700,0.0425,4.21,22.53,0.02,-22.53,1177.9,95,bb_break_eda60187,USDJPY,M5
701,0.042,7.29,25.05,0.03,-24.93,1281.2,96,ema_cross_abdcab58,EURJPY,M5
702,0.0401,11.29,70.76,0.07,-70.66,309.7,310,bb_bounce_855c42e6,GBPJPY,M1
703,0.0396,10.61,16.21,0.02,-16.21,422.7,66,rsi_reversal_93ef9480,GBPJPY,M1
704,0.0394,22.08,16.9,0.02,-16.89,458.2,77,bb_break_591b1a3c,EURJPY,M1
705,0.039,25.33,20.31,0.02,-20.28,952.8,75,rsi_reversal_b2d696ef,GBPJPY,M1
706,0.0378,27.27,38.96,0.04,-38.95,1207.5,176,momentum_1a6eb05d,USDJPY,M1
707,0.0374,23.33,37.17,0.04,-37.17,633.6,150,ema_cross_902d3a73,EURJPY,M1
