pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,sig,tp,sl,sess,lv,be,trail,mb,ab_period,ab_mult,hold_m,hl_lb,hl_cb,bb_p,bb_std
1.0973,27.9,4.2,0.0,4.76,1923.7,423,14,5,0.0112,2.8363,bb_bounce_190563d8,USDJPY,bb_bounce,A×4.0,A×1.5,newyork,False,False,False,120,,,32.1,,,14.0,1.5
1.0953,38.75,1.85,0.0,0.98,630.8,160,7,7,0.0061,1.7313,atr_break_349ba344,USDJPY,atr_break,A×3.0,A×1.5,london,True,False,True,30,14.0,0.8,10.5,,,,
1.0937,53.7,1.03,0.0,0.46,265.0,108,5,6,0.0042,0.9429,bb_bounce_a2c2ea3d,USDJPY,bb_bounce,A×3.0,A×1.5,london,True,True,True,120,,,4.4,,,20.0,2.5
1.0926,26.99,4.43,0.0,2.99,1449.8,226,11,3,0.0132,2.9554,hilo_break_5549e462,GBPJPY,hilo_break,A×6.0,A×1.5,newyork,True,False,False,60,,,24.2,7.0,1.0,,
1.0915,43.43,1.19,0.0,0.39,161.2,99,7,8,0.0039,1.4215,atr_break_2959762f,GBPJPY,atr_break,A×2.0,A×0.7,london,False,True,True,60,5.0,1.0,2.7,,,,
1.0912,26.62,2.24,0.0,1.72,1752.5,139,11,3,0.0124,3.0081,atr_break_65fb9db7,EURJPY,atr_break,A×4.0,A×1.5,newyork,True,False,False,0,20.0,0.8,29.2,,,,
1.0884,49.28,2.2,0.0,0.53,186.5,138,7,8,0.0039,1.1205,hilo_break_07dff94f,GBPJPY,hilo_break,A×3.0,A×0.7,london,False,True,True,60,,,3.1,5.0,2.0,,
1.0874,52.38,1.18,0.0,0.35,287.9,84,8,5,0.0042,0.9885,atr_break_e49d5bab,EURJPY,atr_break,A×2.5,A×1.0,newyork,False,True,True,120,14.0,1.0,4.8,,,,
1.087,44.88,2.38,0.0,1.34,234.8,332,11,8,0.004,1.3351,hilo_break_ff36c9a1,EURJPY,hilo_break,A×4.0,A×1.0,newyork,True,True,True,0,,,3.9,7.0,1.0,,
1.084,32.77,3.69,0.0,1.75,1187.8,177,13,3,0.0099,2.2242,atr_break_d0675dfa,EURJPY,atr_break,A×3.0,A×1.5,newyork,True,False,False,0,10.0,0.8,19.8,,,,
