,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,SOLUSDT
2024-02-10 00:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 01:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 02:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 03:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 04:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 05:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 06:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 07:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 08:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 09:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 10:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 11:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 12:00:00+00:00,40.96412855116196,20.496940642189234,29.77724442934352,25.98228940397973,20.72293015537072
2024-02-10 13:00:00+00:00,40.96412855116196,20.496940642189234,29.746134277476127,25.98228940397973,20.72293015537072
2024-02-10 14:00:00+00:00,40.96412855116196,20.496940642189234,29.95214993004496,25.98228940397973,20.72293015537072
2024-02-10 15:00:00+00:00,40.96412855116196,20.496940642189234,29.737807718674688,25.98228940397973,20.72293015537072
2024-02-10 16:00:00+00:00,40.96412855116196,20.496940642189234,29.717875490635805,25.98228940397973,20.72293015537072
2024-02-10 17:00:00+00:00,40.96412855116196,20.496940642189234,29.88622996203769,25.98228940397973,20.72293015537072
2024-02-10 18:00:00+00:00,40.96412855116196,20.496940642189234,29.955021887562552,25.98228940397973,20.72293015537072
2024-02-10 19:00:00+00:00,40.92133076094447,20.496940642189234,30.08965032857723,25.98228940397973,20.72293015537072
2024-02-10 20:00:00+00:00,41.64252883034408,20.496940642189234,30.284141724207487,25.98228940397973,20.72293015537072
2024-02-10 21:00:00+00:00,40.837556882521106,20.496940642189234,30.347020124333937,25.98228940397973,20.72293015537072
2024-02-10 22:00:00+00:00,41.11921514716812,20.496940642189234,30.208053858598976,25.98228940397973,20.72293015537072
2024-02-10 23:00:00+00:00,41.23122311629871,20.496940642189234,30.145473499576827,25.98228940397973,20.72293015537072
2024-02-11 00:00:00+00:00,40.44621163298926,20.496940642189234,30.16323989729496,25.98228940397973,20.72293015537072
2024-02-11 01:00:00+00:00,40.89798315832848,20.496940642189234,30.610639697788454,25.98228940397973,20.72293015537072
2024-02-11 02:00:00+00:00,40.89798315832848,20.496940642189234,30.52617068576025,25.98228940397973,20.72293015537072
2024-02-11 03:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 04:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
2024-02-11 05:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.72293015537072
