pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.3565,27.4,15.75,0.02,-15.75,9221.9,73,ema_cross_ef9924e5,EURJPY,M5
0.2733,33.33,31.15,0.03,-30.89,3554.5,132,ema_cross_f0deb4f0,EURJPY,M5
0.2142,41.38,37.65,0.04,-37.47,2677.6,174,ema_cross_fea5572c,EURJPY,M5
0.3394,31.62,26.37,0.03,-26.37,5287.2,117,momentum_0b77e21d,EURJPY,M5
0.2254,41.03,36.79,0.04,-36.69,3384.6,156,momentum_3967e139,EURJPY,M5
0.2479,35.16,20.33,0.02,-20.33,3118.7,91,momentum_44a50e6c,EURJPY,M5
0.319,43.18,17.33,0.02,-17.34,3930.7,88,momentum_490863a0,EURJPY,M5
0.2589,32.38,21.18,0.02,-21.18,2717.1,105,momentum_5100332c,EURJPY,M5
0.1719,16.22,27.87,0.03,-27.87,1889.2,111,momentum_6a62b07c,EURJPY,M5
0.2744,38.82,18.59,0.02,-18.59,3515.3,85,momentum_7279aa16,EURJPY,M5
0.255,36.71,18.42,0.02,-18.42,3436.7,79,momentum_d74757dc,EURJPY,M5
0.5672,50.82,9.46,0.01,-9.46,10549.2,61,momentum_dc40cb70,EURJPY,M5
0.2714,23.57,49.64,0.05,-49.27,2767.3,263,rsi_reversal_1267fc98,EURJPY,M5
0.0,0.0,1.25,0.0,-1.25,780.0,5,rsi_reversal_2673622a,EURJPY,M5
0.6195,56.36,13.73,0.01,-13.46,9376.4,110,rsi_reversal_3cc77779,EURJPY,M5
0.4773,39.13,3.59,0.0,-3.12,5700.0,23,rsi_reversal_5999e02d,EURJPY,M5
0.7603,50.0,1.87,0.0,-0.88,4612.5,16,rsi_reversal_76543b15,EURJPY,M5
0.6203,56.6,6.98,0.01,-6.5,9266.0,53,rsi_reversal_7a08475b,EURJPY,M5
0.4317,47.89,15.49,0.02,-15.49,9029.6,71,rsi_reversal_8c7c3c1f,EURJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_a73f69c6,EURJPY,M5
0.3214,50.17,58.35,0.06,-58.35,4759.5,289,rsi_reversal_da6a2ac4,EURJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_ea79811e,EURJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_f39ae529,EURJPY,M5
